final_rank,player,player_age,nationality,season_points,wins
101,Cole Smith S1,23,USA,2439,0
102,Nicholas Taylor,24,USA,2438,0
103,Michael Wenger S3,20,Switzerland,2432,0
104,Joseph Hunt S4,19,USA,2418,0
105,Malcolm Chambers,24,England,2384,0
106,David Kennedy S1,23,New Zealand,2373,0
107,Widodo Ramadan,24,Indonesia,2371,0
108,Jay Roberts S3,21,Australia,2361,0
109,Edgars Turiņš S2,23,Latvia,2326,0
110,Klaus Frühwirth S2,21,Austria,2323,0
111,Robert Jones S2,21,Scotland,2320,0
112,Michel Charlier S4,19,Belgium,2315,0
113,Jose Gonzales S4,19,Philippines,2293,0
114,Dennis Compton S4,22,USA,2287,0
115,Erik Gonzalez S2,24,USA,2278,0
116,Kieran Day S2,22,England,2271,0
117,Jeffrey Fernandez S4,19,USA,2234,0
118,Tomasz Cegła S2,21,Poland,2206,0
119,Jonas Gailius S3,20,Lithuania,2153,0
120,Casey Gutierrez S2,21,USA,2107,0
121,Dieter Gieß S4,21,Germany,2082,0
122,Marco Lopresti S4,21,Italy,2074,0
123,Timothy Francis S4,22,USA,2022,0
124,Andre White S2,23,Australia,2022,0
125,William Cruz S4,19,USA,1950,0
126,Michael Wall S4,19,USA,1949,0
127,Jeffrey Wilson S4,22,USA,1948,0
128,Mark Berry S4,19,USA,1939,0
129,Gerard Boer S4,20,Netherlands,1885,0
130,Eric Hammond S4,21,England,1716,0
131,Russell Collins S4,22,England,1644,0
132,Daniel Doherty S4,20,New Zealand,1622,0
133,George Cox S4,21,Scotland,1601,0
134,Keith Luna S4,19,USA,1571,0
135,Douglas Davis S4,21,Australia,1551,0
136,David Velazquez S4,19,USA,1548,0
137,Mark Johnson S4,22,USA,1487,0
138,Christopher McLean S4,20,England,1431,0
139,Nicolas Munoz S4,19,USA,1422,0
140,Robert Harris S4,21,USA,1303,0
141,Richard Ryan S4,21,England,1284,0
142,Daniel Edwards S4,21,Scotland,1137,0
143,Jonas Kaupas S4,21,Lithuania,1124,0
144,Petr Miklík S4,19,Slovakia,1058,0
145,Ivan Jenko S4,20,Slovenia,1050,0
146,Jesse Garza S4,20,USA,1045,0
147,Jaan Kasak S4,21,Estonia,890,0
148,Terrence Buckley S4,19,Australia,862,0
149,Donald Baird S4,21,USA,701,0
150,William Simmons S4,22,South Africa,215,0
