final_rank,player,player_age,nationality,season_points,wins
115,Eric Walters S3,22,USA,1641,0
116,Dylan Edwards S2,22,Australia,1555,0
117,Walter Randolph S3,22,Canada,1520,0
118,Carlos Pedrero S3,22,Spain,1505,0
119,Jonathan Johnson S3,21,England,1391,0
120,Jesse Daugherty S3,20,USA,1368,0
121,Jordan Evans S3,19,England,1354,0
122,Brian Charles S3,21,USA,1342,0
123,Karl Svensson S3,22,Sweden,1323,0
124,Paul Flores S3,19,USA,1312,0
125,Michael Daniel S3,22,USA,1284,0
126,Michael Brooks S3,22,USA,1245,0
127,Piet Vanneste S3,22,Belgium (Dutch),1188,0
128,Sean-Paul Hosey S3,21,Ireland,1173,0
129,Philippe Toussaint S3,20,Belgium,1072,0
130,Steven Montgomery S3,20,Australia,1065,0
131,Philippe Cordier S3,19,Belgium,1011,0
132,Kenneth Miller S3,22,USA,950,0
133,Kazuki Tanaka S3,21,Japan,907,0
134,Charles Mosley S3,20,USA,893,0
135,Pierre Lebon S3,22,France,886,0
136,Jose Zimmerman S3,20,Philippines,842,0
137,Paulo Souza S3,21,Brazil,808,0
138,Hendro Kurniawan S3,21,Indonesia,793,0
139,Kazys Nausėda S3,21,Lithuania,730,0
140,Brian Martinez S3,20,Australia,715,0
141,Peter Schramm S3,19,Austria,657,0
142,Stephen Smith S3,21,USA,625,0
143,Michael Silva S3,21,USA,574,0
144,Kirk McDade S3,19,Ireland,510,0
145,Adam Bryant S3,22,USA,485,0
146,Dean Taylor S3,21,USA,477,0
147,Drew Rangel S3,20,USA,463,0
148,Robert Rodriguez S3,22,South Africa,373,0
149,Thomas Black S3,21,New Zealand,297,0
150,Manfred Hahn S3,20,Germany,245,0
