final_rank,player,player_age,nationality,season_points,wins
49,Darrell Baker,26,USA,3055,0
50,Jose Lucero,30,Argentina,3050,0
51,Daniel Whitaker,32,USA,3050,0
52,Travis Callahan,30,USA,3048,1
53,Brandon Baker,24,USA,3043,0
54,David Morris,22,USA,3039,0
55,Stephen Schwartz,23,Australia,3037,0
56,Dale Howell,22,USA,3034,2
57,Kaur Tamm,29,Estonia,3031,0
58,Josh Boyce,30,Ireland,3030,0
59,Ronald Wilcox,20,USA,3027,0
60,Kevin Hensley,25,USA,3027,1
61,Mariusz Machowicz,23,Poland,3016,0
62,Timo Varis,29,Finland,3013,0
63,Michael Russell,23,USA,3009,0
64,Abdul Shaw,24,England,3003,0
65,Tyler Maughan,32,Ireland,2984,0
66,Steven Keller,31,USA,2953,0
67,William Ortega,31,USA,2948,0
68,Damon Peterson,32,Australia,2936,0
69,Ryan Hubbard,29,USA,2921,0
70,Anthony Reid,30,Scotland,2911,0
71,David Munoz,29,USA,2910,0
72,Duncan Wood,32,Scotland,2881,0
73,Callum Davison,30,Scotland,2880,0
74,Luke Clark,32,USA,2868,0
75,Andreas Weinhage,20,Germany,2863,0
76,Oliver Smith,23,England,2850,1
77,Shane Harris,23,USA,2844,0
78,Dennis Lyons,32,USA,2842,0
79,Mark Perry,26,USA,2836,0
80,Julien Dupont,23,Belgium,2828,0
81,David Garcia,23,USA,2823,0
82,Chad Jones,28,South Africa,2802,0
83,Evan Dasey,20,Ireland,2801,0
84,Michael Crawford,32,USA,2793,1
85,Michael Sorgatz,21,Germany,2776,0
86,Jason Clark,24,Australia,2769,0
87,Stephen Johnson,22,Australia,2718,0
88,Milan Paľovčík,30,Slovakia,2712,2
89,Huynh Phạm,20,Vietnam,2701,1
90,James Jennings,32,USA,2700,1
91,Joshua Church,22,USA,2680,0
92,Constantin Stănescu,25,Romania,2675,0
93,Macauley McCluskey,21,Ireland,2673,0
94,John Krause,22,USA,2651,0
95,Terence Heaney,28,Ireland,2644,0
96,Jeremy Freeman,32,Canada,2618,0
97,Michael Gordon,32,USA,2581,0
98,Michael Johnson,29,USA,2564,0
99,Antanas Žukauskas,23,Lithuania,2545,0
100,Nathan Banks,30,USA,2537,1
101,Juan Gaytán,27,Mexico,2530,0
102,David Johnston,31,Australia,2529,0
103,Joseph Brady,20,USA,2454,0
104,Marc Marks,21,USA,2441,1
105,Frank Miller,23,Australia,2417,0
106,Juan Prieto,19,Spain,2417,0
107,Charlie Renehan,21,Ireland,2388,0
108,Trevor Booker,29,USA,2356,0
109,Craig Jackson,29,Scotland,2342,0
110,Kevin Rowe,19,Australia,2298,0
111,Gary Allison,21,USA,2292,0
112,Lewis Glazier,19,Ireland,2274,0
113,Timothy Hamilton,32,USA,2256,0
114,Giuseppe Bernardini,22,Italy,2227,0
115,Glen Day,19,England,2178,0
116,Derek Wade,21,England,2164,0
117,Peter Miller,21,Canada,2115,0
118,Anthony Gaines,27,USA,2062,0
119,Seth Stephens,21,South Africa,1898,0
120,Kenneth Stokes,22,Ireland,1893,0
121,Edward Riley,22,USA,1882,0
122,Priit Nõmmik,19,Estonia,1864,0
123,Michael Hall,20,USA,1854,0
124,Keith Williams,22,Australia,1845,0
125,Henry Kelly,20,USA,1839,0
126,Daniel Jordan,22,USA,1795,0
127,Dieter Köster,20,Germany,1773,0
128,Brian Robertson,20,USA,1760,0
129,John Strickland,20,South Africa,1725,0
130,Tyrone Payne,22,USA,1702,0
131,Cory Davis,19,USA,1677,0
132,Daniel Rosario,20,USA,1656,0
133,Victor Jennings,22,Scotland,1638,0
134,Max Cartwright,21,England,1626,0
135,Aaron Thompson,21,Scotland,1392,0
136,Simon Taylor,22,England,1377,0
137,Derrick Snyder,19,USA,1369,0
138,Patrick Watts,20,USA,1367,0
139,Mikael Selin,21,Sweden,1324,0
140,Jonathan Flores,21,USA,1192,0
141,Michel Auger,21,France,1145,0
142,Joshua Stokes,20,USA,1069,0
143,Shaun Burns,19,England,1060,0
144,Jorge Barnes,21,USA,866,0
145,Eric Blake,21,Australia,824,0
146,Tony Olson,21,USA,741,0
147,Johnny Neal,19,Australia,681,0
148,Yuto Matsumoto,22,Japan,592,0
149,Matthew Parks,19,USA,580,0
150,Hugh Middleton,21,England,97,0
